;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;n_articles;n_correct;comments
2232;Heerenveen boekt winst mede dankzij transfer Dumfries;Heerenveen boekt winst door transfer Dumfries en rekent op verlies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
4138;Wie stak hardloopster Esmee (18) zonder enkele aanleiding neer?;Klopjacht op automobilist die Esmee (18) zonder aanleiding neerstak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2133;Golfer Luiten valt terug in Dubai;Niet fitte Luiten in middenmoot na eerste ronde in Dubai;Luiten opent redelijk in Dubai Desert Classic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;
3004;Verdwijning cyberexpert Kamphuis blijft omgeven door raadsels;Complotscenario's rondom verdwijning Arjen Kamphuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1911;Zieke Max van Weezel krijgt documentaire bij Omroep MAX;Presentator Max van Weezel (67) heeft nog enkele maanden te leven;Presentator en journalist Max van Weezel (67) is ongeneeslijk ziek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;
4749;Evenveel vrouwen als mannen hebben hoger diploma;Gelijk aantal mannen en vrouwen in Nederland met wo- of hbo-diploma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2294;Sein brandmeester voor brand in loods met autobanden;Zeer grote brand in loods met autobanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
3398;Politie zoekt met sonar naar vermiste man in water Julianahaven Yerseke;'Politie vindt lichaam in zoektocht vermiste man in Yerseke';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
3181;OM eist 6 jaar cel tegen pastor die zusjes sinds basisschool misbruikte;Zes jaar geëist tegen Haagse pastor voor jarenlang misbruik van twee buurmeisjes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1879;Tilburg University: Proefschrift over salafisme onvoldoende onderbouwd;Zware stappen tegen promovendus en begeleiders in salafismeonderzoek;Commissie: Alarmerend proefschrift over moslims in Nederland klopt niet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;
3550;Gevangene ontsnapt uit Belgisch gerechtsgebouw, politie houdt klopjacht;Gevangene ontsnapt uit Belgisch gerechtsgebouw en vlucht school binnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
202;Wüst heeft het bij EK allround moeilijk met overlijden Van Deutekom;Emotionele De Jong ziet droom uitkomen met eerste Europese titel allround;Wüst, De Jong, Achtereekte: een wereld van verschil;Rijden met rouwband valt Wüst zwaar: ‘Dat hoort gewoon niet’;De Jong onbedreigd naar eerste Europese allroundtitel;‘Normaal is mijn moeder het emotionele type, nu ben ik het’;De Jong wint 500 meter op EK allround, Wüst vierde;‘Normaal is mijn moeder het emotionele type, nu ben ik het ook’;Wüst wil op EK allround eerbetoon maken aan overleden Van Deutekom;De Jong wint ook 1.500 meter en zet reuzenstap naar Europese titel allround;Oppermachtige De Jong wint haar eerste Europese allroundtitel;Wüst vindt vierde plek op EK allround mooi eerbetoon aan Van Deutekom;Antoinette de Jong deelt met winst 500 meter eerste klap uit op EK allround;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;6;
1812;Ministerie waarschuwt reizigers voor controle van sociale media in Turkije;Buitenlandse Zaken scherpt reisadvies voor Turkije aan;Ministerie waarschuwt: Pas op met wat je socialt over Turkije;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;
2949;Britse baby gered uit wrak van gecrashte tram in Lissabon;Britse kinderen gered uit wrak van ontspoorde tram in Lissabon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2836;Acht jaar cel in hoger beroep voor voorbereiden terroristische aanslag;Straf voor het plannen van terroristische aanslag in hoger beroep verdubbeld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
